   0.20000000 -66.11985830 
   0.40000000 -73.30149612 
   0.60000000 -74.83517321 
   0.70000000 -75.08870183 
   0.80000000 -75.21245570 
   0.85000000 -75.24628800 
   0.90000000 -75.26781827 
   0.94000000 -75.27831409 
   0.96000000 -75.28175043 
   0.98000000 -75.28415027 
   1.00000000 -75.28562510 
   1.05000000 -75.28589814 
   1.10000000 -75.28230031 
   1.20000000 -75.26730826 
   1.40000000 -75.22244460 
   1.50000000 -75.19764136 
   1.70000000 -75.14897653 
   1.80000000 -75.12631876 
   1.90000000 -75.10531088 
   2.00000000 -75.08617574 
   2.20000000 -75.05377344 
   2.50000000 -75.01855831 
