   0.20000000 -65.81838677 
   0.40000000 -73.00044664 
   0.60000000 -74.53358695 
   0.70000000 -74.78505803 
   0.80000000 -74.90503335 
   0.85000000 -74.93633282 
   0.90000000 -74.95492770 
   0.94000000 -74.96280328 
   0.96000000 -74.96484481 
   0.98000000 -74.96579704 
   1.00000000 -74.96577404 
   1.05000000 -74.96209887 
   1.10000000 -74.95429355 
   1.20000000 -74.93028122 
   1.40000000 -74.86603983 
   1.50000000 -74.83141137 
   1.70000000 -74.76381266 
   1.80000000 -74.73231153 
   1.90000000 -74.70298824 
   2.00000000 -74.67610594 
   2.20000000 -74.62993838 
   2.50000000 -74.57812660 
