   0.20000000 -65.83503208 
   0.40000000 -73.02527248 
   0.60000000 -74.56697479 
   0.70000000 -74.82316339 
   0.80000000 -74.94845778 
   0.85000000 -74.98271068 
   0.90000000 -75.00449043 
   0.94000000 -75.01509861 
   0.96000000 -75.01857276 
   0.98000000 -75.02100412 
   1.00000000 -75.02250846 
   1.05000000 -75.02287333 
   1.10000000 -75.01944414 
   1.20000000 -75.00527539 
   1.40000000 -74.96545698 
   1.50000000 -74.94547549 
   1.70000000 -74.91156693 
   1.80000000 -74.89854265 
   1.90000000 -74.88819389 
   2.00000000 -74.88026320 
   2.20000000 -74.87008093 
   2.50000000 -74.86337119 
