   0.50000000 -38.53534986 
   0.60000000 -39.22870716 
   0.70000000 -39.48827926 
   0.80000000 -39.64174569 
   0.90000000 -39.72175365 
   1.00000000 -39.75807825 
   1.10000000 -39.76824757 
   1.20000000 -39.76272132 
   1.30000000 -39.74796678 
   1.40000000 -39.72815513 
   1.50000000 -39.70606599 
   1.60000000 -39.68358619 
   1.70000000 -39.66199289 
   1.80000000 -39.64214585 
   1.90000000 -39.62458402 
   2.00000000 -39.60958106 
   2.10000000 -39.59717804 
   2.20000000 -39.58723089 
   2.30000000 -39.57946491 
   2.40000000 -39.57353782 
   2.50000000 -39.56909816 
