   0.50000000 -74.05404934 
   0.60000000 -74.56652350 
   0.70000000 -74.82237067 
   0.80000000 -74.94665699 
   0.90000000 -75.00128857 
   1.00000000 -75.01775851 
   1.10000000 -75.01319308 
   1.20000000 -74.99770619 
   1.30000000 -74.97746787 
   1.40000000 -74.95614415 
   1.50000000 -74.93581916 
   1.60000000 -74.91763319 
   1.70000000 -74.90215201 
   1.80000000 -74.88954183 
   1.90000000 -74.87966789 
   2.00000000 -74.87219335 
   2.10000000 -74.86668681 
   2.20000000 -74.86271305 
   2.30000000 -74.85988880 
   2.40000000 -74.85790433 
   2.50000000 -74.85652272 
