   0.50000000 -38.75357983 
   0.60000000 -39.24753015 
   0.70000000 -39.52585340 
   0.80000000 -39.67951099 
   0.90000000 -39.75967716 
   1.00000000 -39.79617125 
   1.10000000 -39.80655332 
   1.20000000 -39.80131034 
   1.30000000 -39.78691548 
   1.40000000 -39.76753629 
   1.50000000 -39.74594138 
   1.60000000 -39.72399648 
   1.70000000 -39.70296108 
   1.80000000 -39.68367132 
   1.90000000 -39.66664476 
   2.00000000 -39.65213594 
   2.10000000 -39.64017410 
   2.20000000 -39.63060673 
   2.30000000 -39.62315670 
   2.40000000 -39.61748504 
   2.50000000 -39.61324572 
