1 23 1   1.0   1.0 
   0.30000000  -0.60180372 
   0.40000000  -0.91414971 
   0.50000000  -1.05515980 
   0.60000000  -1.11628601 
   0.70000000  -1.13618945 
   0.80000000  -1.13414767 
   0.90000000  -1.12056028 
   1.00000000  -1.10115033 
   1.10000000  -1.07919294 
   1.20000000  -1.05674074 
   1.30000000  -1.03518627 
   1.40000000  -1.01546825 
   1.50000000  -0.99814935 
   1.60000000  -0.98347273 
   1.70000000  -0.97142669 
   1.80000000  -0.96181695 
   1.90000000  -0.95433885 
   2.00000000  -0.94864111 
   2.10000000  -0.94437468 
   2.20000000  -0.94122403 
   2.30000000  -0.93892239 
   2.40000000  -0.93725495 
   2.50000000  -0.93605492 
