   0.50000000 -38.75324666 
   0.60000000 -39.24731389 
   0.70000000 -39.52569795 
   0.80000000 -39.67938258 
   0.90000000 -39.75956237 
   1.00000000 -39.79605007 
   1.10000000 -39.80638069 
   1.20000000 -39.80101675 
   1.30000000 -39.78641757 
   1.40000000 -39.76674675 
   1.50000000 -39.74477570 
   1.60000000 -39.72237864 
   1.70000000 -39.70082953 
   1.80000000 -39.68098467 
   1.90000000 -39.66338585 
   2.00000000 -39.64831328 
   2.10000000 -39.63582008 
   2.20000000 -39.62577284 
   2.30000000 -39.61790682 
   2.40000000 -39.61188823 
   2.50000000 -39.60736984 
