   0.50000000 -74.05397850 
   0.60000000 -74.56645004 
   0.70000000 -74.82230317 
   0.80000000 -74.94659762 
   0.90000000 -75.00123688 
   1.00000000 -75.01771342 
   1.10000000 -75.01315357 
   1.20000000 -74.99767141 
   1.30000000 -74.97743715 
   1.40000000 -74.95611691 
   1.50000000 -74.93579493 
   1.60000000 -74.91761153 
   1.70000000 -74.90213252 
   1.80000000 -74.88952412 
   1.90000000 -74.87965159 
   2.00000000 -74.87217814 
   2.10000000 -74.86667243 
   2.20000000 -74.86269927 
   2.30000000 -74.85987544 
   2.40000000 -74.85789128 
   2.50000000 -74.85650987 
